,隊伍,日期,總分,第一節分數,第二節分數,第三節分數,第四節分數
0,騎士,2021/1/1,99,21,30,17,31
1,步行者,2021/1/1,119,32,25,31,31
2,公牛,2021/1/1,133,35,36,36,26
3,奇才,2021/1/1,130,41,27,32,30
4,76人,2021/1/1,116,38,37,23,18
5,魔術,2021/1/1,92,22,18,29,23
6,國王,2021/1/1,119,33,26,27,33
7,火箭,2021/1/1,122,32,31,24,35
8,尼克斯,2021/1/1,83,18,24,22,19
9,猛龍,2021/1/1,100,22,20,29,29
10,鵜鶘,2021/1/1,113,32,26,27,28
11,雷霆,2021/1/1,80,28,19,26,7
12,太陽,2021/1/1,106,21,32,30,23
13,爵士,2021/1/1,95,22,18,30,25
14,凱爾特人,2021/1/2,93,12,28,33,20
15,活塞,2021/1/2,96,27,28,24,17
16,灰熊,2021/1/2,108,23,30,30,25
17,?蜂,2021/1/2,93,19,28,20,26
18,熱火,2021/1/2,83,16,15,22,30
19,獨行俠,2021/1/2,93,20,26,27,20
20,老鷹,2021/1/2,114,29,32,28,25
21,籃網,2021/1/2,96,23,29,21,23
22,湖人,2021/1/2,109,25,33,23,28
23,馬刺,2021/1/2,103,31,26,28,18
24,公牛,2021/1/2,96,21,19,35,21
25,雄鹿,2021/1/2,126,27,35,34,30
26,奇才,2021/1/2,130,37,23,40,30
27,森林狼,2021/1/2,109,25,32,14,38
28,太陽,2021/1/2,106,34,26,27,19
29,掘金,2021/1/2,103,32,17,29,25
30,快船,2021/1/2,100,19,23,23,35
31,爵士,2021/1/2,106,31,20,33,22
32,開拓者,2021/1/2,123,36,31,31,25
33,勇士,2021/1/2,98,21,34,25,18
34,國王,2021/1/3,94,36,28,17,13
35,火箭,2021/1/3,102,36,28,19,19
36,雷霆,2021/1/3,108,28,24,32,24
37,魔術,2021/1/3,99,33,18,31,17
38,尼克斯,2021/1/3,106,26,24,32,24
39,步行者,2021/1/3,102,28,23,31,20
40,?蜂,2021/1/3,112,24,34,32,22
41,76人,2021/1/3,127,39,34,31,23
42,猛龍,2021/1/3,116,26,34,22,34
43,鵜鶘,2021/1/3,120,32,23,32,33
44,騎士,2021/1/3,96,25,19,26,26
45,老鷹,2021/1/3,91,35,21,18,17
46,凱爾特人,2021/1/4,122,31,30,30,31
47,活塞,2021/1/4,120,33,24,31,32
