cid,gender,R,F,M,k-means
0S3670071489,F,586,1,1380,1
0S3687895473,M,12,1,1186,2
0S3690675977,F,75,2,2850,2
2009S2044237,F,657,1,1099,1
2009S2044261,M,145,1,1360,2
2009S2104189,M,502,1,1380,3
2009S2104229,F,664,1,998,1
2009S2104257,M,233,1,2040,0
2009S2124177,F,201,4,11254,0
2009S2404081,M,523,1,1335,1
2009S2868093,M,202,3,1569,0
2009S2872101,F,153,7,5998,2
2009S3224121,F,552,2,6290,1
2009S3236089,F,532,1,999,1
2009S3248081,F,658,1,493,1
2009S3248129,F,391,1,1290,3
2009S3272137,F,390,1,660,3
2009S3636053,F,196,1,1560,0
2009S3636101,M,650,1,229,1
2009S3648085,F,313,9,10269,0
2009S3652085,F,392,1,1290,3
2009S3656061,M,233,2,2160,0
2009S3712061,M,230,1,1380,0
2009S4052185,M,578,1,1280,1
2009S4056509,F,641,1,1099,1
2009S4060329,F,409,1,1889,3
2009S4060381,M,82,2,3700,2
2009S4060413,F,131,8,11130,2
2009S4064377,M,57,1,1380,2
2009S4064389,M,1,34,217181,2
2009S4064677,M,126,1,780,2
2009S4068445,F,489,1,520,3
2009S4068509,F,313,2,3509,0
2009S4068785,F,216,1,458,0
2009S4072065,M,103,1,980,2
2009S4072661,M,368,4,15934,3
2009S4076261,F,575,1,680,1
2009S4076365,M,20,2,2740,2
2009S4076581,F,299,2,3319,0
2009S4076753,F,50,1,150,2
2009S4076993,F,391,1,1290,3
2009S4077069,F,10,2,743,2
2009S4077165,F,510,1,580,1
2009S4080541,F,604,2,6030,1
2009S4080909,F,112,1,1080,2
2009S4081161,F,112,1,300,2
2009S4081257,M,3,8,26374,2
2009S4081317,F,665,1,986,1
2009S4084065,F,324,3,5820,0
2009S4084233,F,329,1,270,0
2009S4084477,F,328,3,1304,0
2009S4088421,F,284,1,2315,0
2009S4088541,M,607,1,1680,1
2009S4088585,F,444,1,2576,3
2009S4092145,F,321,1,270,0
2009S4092505,M,122,1,2068,2
2009S4092729,F,155,2,300,2
2009S4092853,M,459,2,2880,3
2009S4096217,F,55,1,1560,2
2009S4096525,F,549,1,325,1
2009S4096617,M,392,2,4576,3
2009S4097233,M,104,6,7637,2
2009S4097321,F,33,2,3339,2
2009S4100233,M,661,1,2964,1
2009S4100477,F,509,1,780,1
2009S4100601,M,18,11,66811,2
2009S4100617,M,375,1,699,3
2009S4100841,M,144,1,680,2
2009S4104529,F,358,1,4696,3
2009S4104805,F,604,1,2268,1
2009S4104897,M,610,1,520,1
2009S4105069,F,196,1,1878,0
2009S4105621,M,272,5,23882,0
2009S4105761,F,607,1,695,1
2009S4105937,F,568,1,493,1
2009S4108469,F,404,1,680,3
2009S4108797,F,72,2,489,2
2009S4108897,F,433,1,990,3
2009S4112113,M,664,1,1380,1
2009S4112309,F,89,1,1850,2
